Player,Pos,Team,GP,GS,Comp,Inc,Yds,TD,Int,Sks,1st,Att,Yds,TD,1st,Tgt,Rec,Yds,TD,1st,Yds,TD,2PT,Total,Lost,Fan Pts,PPG
A. Rodgers,QB, GB,16,,401,209,4428,40,7,35,222,67,369,4,25,0,0,0,0,0,0,0,1,8,4,0,0.0
T. Brady,QB, NE,12,,291,141,3554,28,2,15,163,28,64,0,10,0,0,0,0,0,0,0,0,5,0,0,0.0
D. Brees,QB, NO,16,,471,202,5208,37,15,27,264,23,20,2,7,0,0,0,0,0,0,0,0,5,4,0,0.0
A. Luck,QB,Ind,15,,346,199,4240,31,13,41,206,64,341,2,20,0,0,0,0,0,0,0,2,6,5,0,0.0
M. Ryan,QB,Atl,16,,373,161,4944,38,7,37,238,35,117,0,13,0,0,0,0,0,0,0,2,4,2,0,0.0
R. Wilson,QB,Sea,16,,353,193,4219,21,11,41,193,72,259,1,16,2,2,14,1,1,0,0,1,8,2,0,0.0
K. Cousins,QB,Was,16,,406,200,4917,25,12,23,225,34,96,4,14,0,0,0,0,0,0,0,0,9,3,0,0.0
M. Stafford,QB,Det,16,,388,206,4327,24,10,37,217,37,207,2,15,0,0,0,0,0,0,0,1,3,2,0,0.0
D. Prescott,QB,Dal,16,,311,148,3667,23,4,25,182,57,282,6,21,0,0,0,0,0,0,0,0,9,4,0,0.0
C. Newton,QB,Car,15,,270,240,3509,19,14,36,172,90,359,5,28,0,0,0,0,0,0,0,2,3,2,0,0.0
M. Mariota,QB,Ten,15,,276,175,3426,26,9,23,158,60,349,2,19,1,0,0,0,0,0,0,0,9,5,0,0.0
J. Winston,QB,Buf,16,,345,222,4090,28,18,35,214,53,165,1,10,0,0,0,0,0,0,0,3,10,6,0,0.0
A. Dalton,QB, TB,16,,364,199,4206,18,8,41,204,46,184,4,17,0,0,0,0,0,0,0,0,9,3,0,0.0
T. Taylor,QB,Cin,15,,269,167,3023,17,6,42,147,95,580,6,31,0,0,0,0,0,0,0,2,4,2,0,0.0
B. Bortles,QB,Jax,16,,368,257,3905,23,16,34,206,58,359,3,20,1,1,20,1,1,0,0,2,8,6,0,0.0
D. Carr,QB,Oak,15,,357,203,3937,28,6,16,189,39,70,0,5,0,0,0,0,0,0,0,5,5,3,0,0.0
J. Flacco,QB,Bal,16,,436,236,4317,20,15,33,204,21,58,2,6,0,0,0,0,0,0,0,4,5,3,0,0.0
D. Johnson,RB,Ari,16,,0,0,0,0,0,0,0,293,1239,16,72,120,80,879,4,42,0,0,1,5,3,0,0.0
C. Wentz,QB,Phi,16,,379,228,3782,16,14,33,191,46,150,2,15,1,1,7,0,0,0,0,2,14,3,0,0.0
E. Manning,QB,NYG,16,,377,221,4027,26,16,21,190,21,-9,0,2,0,0,0,0,0,0,0,0,7,4,0,0.0
P. Rivers,QB,LAC,16,,349,229,4386,33,21,36,214,14,35,0,2,0,0,0,0,0,0,0,0,9,5,0,0.0
B. Roethlisberger,QB,Pit,14,,328,181,3819,29,13,17,184,16,14,1,3,0,0,0,0,0,0,0,3,8,2,0,0.0
L. Bell,RB,Pit,12,,0,1,0,0,0,0,0,261,1268,7,69,94,75,616,2,31,0,0,1,4,1,0,0.0
C. Palmer,QB,Ari,15,,364,233,4233,26,14,40,218,14,38,0,3,0,0,0,0,0,0,0,1,14,4,0,0.0
S. Bradford,QB,Min,15,,395,157,3877,20,5,37,197,20,53,0,3,1,1,5,0,0,0,0,0,10,5,0,0.0
A. Smith,QB, KC,15,,328,161,3502,15,8,28,181,48,134,5,9,1,1,3,0,0,0,0,2,7,4,0,0.0
M. Glennon,QB,Chi,2,,10,1,75,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0
J. Ajayi,RB,Mia,15,,0,0,0,0,0,0,0,260,1272,8,60,35,27,151,0,8,0,0,0,4,1,0,0.0
M. Gordon,RB,LAC,13,,0,0,0,0,0,0,0,254,997,10,61,57,41,419,2,21,0,0,0,2,2,0,0.0
D. Watson,QB,Hou,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
C. Kessler,RB,Ten,9,,128,67,1380,6,2,21,67,11,18,0,1,0,0,0,0,0,0,0,1,4,1,0,0.0
D. Murray,RB,Chi,16,,1,1,10,1,0,0,1,293,1287,9,64,67,53,377,3,20,0,0,0,3,1,0,0.0
J. Howard,RB,Jax,15,,0,0,0,0,0,0,0,252,1313,6,70,50,29,298,1,12,0,0,0,2,1,0,0.0
T. Gurley,RB,LAR,16,,0,0,0,0,0,0,0,278,885,6,48,58,43,327,0,15,0,0,0,2,1,0,0.0
L. Fournette,RB,Atl,-,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,-
D. Freeman,RB,Buf,16,,0,0,0,0,0,0,0,227,1079,11,61,65,54,462,2,22,0,0,0,1,1,0,0.0
L. McCoy,QB,LAR,15,,0,0,0,0,0,0,0,234,1267,13,55,57,50,356,1,18,0,0,1,3,0,0,0.0
